| **Actor**               | **Chức năng**                                                                                                                                                                                                                                                                                                                                                           |
| ----------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Khách hàng**          | - Đăng ký / đăng nhập hệ thống  <br> - Tìm kiếm sách theo tên, tác giả, danh mục  <br> - Xem chi tiết thông tin sách  <br> - Thêm sách vào giỏ hàng  <br> - Cập nhật số lượng sách trong giỏ hàng  <br> - Đặt hàng và thực hiện thanh toán  <br> - Theo dõi trạng thái đơn hàng và giao hàng  <br> - Đánh giá, nhận xét sách  <br> - Nhận gợi ý sách từ hệ thống tư vấn |
| **Quản trị viên**       | - Quản lý danh mục sách và thông tin sách  <br> - Quản lý người dùng và phân quyền  <br> - Quản lý đơn hàng  <br> - Cập nhật trạng thái thanh toán  <br> - Quản lý vận chuyển và đối tác giao hàng  <br> - Xem báo cáo tổng hợp hệ thống                                                                                                                                |
| **Hệ thống thanh toán** | - Xử lý giao dịch thanh toán trực tuyến  <br> - Xác nhận kết quả thanh toán (thành công/thất bại)  <br> - Gửi thông báo kết quả thanh toán về hệ thống  <br> - Hỗ trợ hoàn tiền khi có yêu cầu                                                                                                                                                                          |
| **Hệ thống vận chuyển** | - Nhận yêu cầu giao hàng từ hệ thống  <br> - Cập nhật trạng thái vận chuyển đơn hàng  <br> - Cung cấp mã theo dõi (tracking)  <br> - Xác nhận giao hàng thành công hoặc thất bại                                                                                                                                                                                        |
| **Module tư vấn gợi ý** | - Phân tích lịch sử mua hàng của khách hàng  <br> - Phân tích hành vi người dùng  <br> - Sinh danh sách sách gợi ý cá nhân hóa                                                                                                                                                                                                                                          |
| **Nhân viên quản lý**   | - Nhập sách mới vào hệ thống  <br> - Cập nhật thông tin sách (giá, mô tả, hình ảnh)  <br> - Kiểm tra và cập nhật tồn kho  <br> - Xóa sách lỗi hoặc ngừng kinh doanh                                                                                                                                                                                                     |
| **Nhân viên kho**       | - Quản lý số lượng sách trong kho  <br> - Xác nhận xuất kho khi có đơn hàng  <br> - Chuẩn bị và đóng gói đơn hàng  <br> - Bàn giao đơn hàng cho đơn vị vận chuyển  <br> - Cập nhật trạng thái xử lý kho                                                                                                                                                                 |
| **Hệ thống thông báo**  | - Gửi email xác nhận đơn hàng  <br> - Gửi thông báo trạng thái thanh toán  <br> - Gửi thông báo giao hàng cho khách hàng                                                                                                                                                                                                                                                |
| **Hệ thống báo cáo**    | - Thống kê doanh thu  <br> - Thống kê đơn hàng theo thời gian  <br> - Thống kê sách bán chạy  <br> - Hỗ trợ quản trị viên ra quyết định                                                                                                                                                                                                                                 |
